row;rt;stimulus;key_press;trial_type;trial_index;time_elapsed;internal_node_id;button_pressed;play_history;responses;question_order;prolific_pid;conditions
1;7485.85;"<div style='max-width:700px;'><p>For this experiment, you will listen to 5 pairs of rhythms and choose which rhythm in each pair sounds more unusual.</p><p>You will need to be able to hear audio in order to complete the experiment.</p><p>Press any key to ";13;html-keyboard-response;0;7488;0.0-0.0;NULL;NULL;NULL;NULL;5d09364814de190001842a1f;typicality
2;NULL;base64.wav;NULL;audio-keyboard-response;1;13491;0.0-1.0-0.0;NULL;NULL;NULL;NULL;5d09364814de190001842a1f;typicality
3;1162.13;base64.wav;87;audio-keyboard-response;2;14655;0.0-1.1-0.1;NULL;NULL;NULL;NULL;5d09364814de190001842a1f;typicality
4;26893.7;"["patterns/Rhythm-36.mp3","patterns/Rhythm-25.mp3"]";NULL;forced-choice-audio;3;41550;0.0-2.0;1;[0,1];NULL;NULL;5d09364814de190001842a1f;typicality
5;23181.1;"["patterns/Rhythm-53.mp3","patterns/Rhythm-90.mp3"]";NULL;forced-choice-audio;4;65233;0.0-3.0;0;[0,1];NULL;NULL;5d09364814de190001842a1f;typicality
6;22997.4;"["patterns/Rhythm-49.mp3","patterns/Rhythm-64.mp3"]";NULL;forced-choice-audio;5;88733;0.0-4.0;1;[0,1];NULL;NULL;5d09364814de190001842a1f;typicality
7;22324;"["patterns/Rhythm-63.mp3","patterns/Rhythm-25.mp3"]";NULL;forced-choice-audio;6;111559;0.0-5.0;1;[0,1];NULL;NULL;5d09364814de190001842a1f;typicality
8;22223.1;"["patterns/Rhythm-31.mp3","patterns/Rhythm-72.mp3"]";NULL;forced-choice-audio;7;134284;0.0-6.0;0;[0,1];NULL;NULL;5d09364814de190001842a1f;typicality
9;22470.2;"["patterns/Rhythm-36.mp3","patterns/Rhythm-9.mp3"]";NULL;forced-choice-audio;8;157256;0.0-7.0;1;[0,1];NULL;NULL;5d09364814de190001842a1f;typicality
10;2929.7;"<p>Now you will answer a few questions.</p><p>Press any key to continue.</p>";32;html-keyboard-response;9;160687;0.0-8.0;NULL;NULL;NULL;NULL;5d09364814de190001842a1f;typicality
11;23303.4;NULL;NULL;survey-text;10;184494;0.0-9.0;NULL;NULL;"{"HowManyHours":"12","HowManyYears":"0"}";NULL;5d09364814de190001842a1f;typicality
12;10433.1;NULL;NULL;survey-multi-select;11;195430;0.0-10.0;NULL;NULL;"{"Q0":[]}";[0];5d09364814de190001842a1f;typicality
13;19625.1;"<div style='max-width:700px;'><p>For this experiment, you will listen to 5 pairs of rhythms and choose which rhythm in each pair you like more.</p><p>You will need to be able to hear audio in order to complete the experiment.</p><p>Press any key to contin";13;html-keyboard-response;0;19627;0.0-0.0;NULL;NULL;NULL;NULL;5c2e7158a0852500014ceb0b;preference
14;4988.81;base64.wav;87;audio-keyboard-response;1;25117;0.0-1.0-0.0;NULL;NULL;NULL;NULL;5c2e7158a0852500014ceb0b;preference
15;24889.1;"["patterns/Rhythm-50.mp3","patterns/Rhythm-38.mp3"]";NULL;forced-choice-audio;2;50008;0.0-2.0;0;[0,1];NULL;NULL;5c2e7158a0852500014ceb0b;preference
16;43028.6;"["patterns/Rhythm-75.mp3","patterns/Rhythm-45.mp3"]";NULL;forced-choice-audio;3;93538;0.0-3.0;0;[0,1];NULL;NULL;5c2e7158a0852500014ceb0b;preference
17;67941.9;"["patterns/Rhythm-92.mp3","patterns/Rhythm-89.mp3"]";NULL;forced-choice-audio;4;161983;0.0-4.0;1;[0,1];NULL;NULL;5c2e7158a0852500014ceb0b;preference
18;22339.2;"["patterns/Rhythm-90.mp3","patterns/Rhythm-38.mp3"]";NULL;forced-choice-audio;5;184824;0.0-5.0;0;[0,1];NULL;NULL;5c2e7158a0852500014ceb0b;preference
19;22835.1;"["patterns/Rhythm-67.mp3","patterns/Rhythm-4.mp3"]";NULL;forced-choice-audio;6;208161;0.0-6.0;1;[0,1];NULL;NULL;5c2e7158a0852500014ceb0b;preference
20;22630.1;"["patterns/Rhythm-50.mp3","patterns/Rhythm-84.mp3"]";NULL;forced-choice-audio;7;231292;0.0-7.0;0;[0,1];NULL;NULL;5c2e7158a0852500014ceb0b;preference
21;2206.92;"<p>Now you will answer a few questions.</p><p>Press any key to continue.</p>";13;html-keyboard-response;8;234000;0.0-8.0;NULL;NULL;NULL;NULL;5c2e7158a0852500014ceb0b;preference
22;22458.4;NULL;NULL;survey-text;9;256962;0.0-9.0;NULL;NULL;"{"HowManyHours":"4-5 per day","HowManyYears":"2"}";NULL;5c2e7158a0852500014ceb0b;preference
23;10322.6;NULL;NULL;survey-multi-select;10;267788;0.0-10.0;NULL;NULL;"{"Q0":["I took/take private music lessons."]}";[0];5c2e7158a0852500014ceb0b;preference
24;1805;"<div style='max-width:700px;'><p>For this experiment, you will listen to 5 pairs of rhythms and choose which rhythm in each pair sounds more unusual.</p><p>You will need to be able to hear audio in order to complete the experiment.</p><p>Press any key to ";183;html-keyboard-response;0;1810;0.0-0.0;NULL;NULL;NULL;NULL;5d60061e45714d00019ad6a4;typicality
25;NULL;base64.wav;NULL;audio-keyboard-response;1;7834;0.0-1.0-0.0;NULL;NULL;NULL;NULL;5d60061e45714d00019ad6a4;typicality
26;NULL;base64.wav;NULL;audio-keyboard-response;2;13338;0.0-1.1-0.1;NULL;NULL;NULL;NULL;5d60061e45714d00019ad6a4;typicality
27;NULL;base64.wav;NULL;audio-keyboard-response;3;18844;0.0-1.2-0.2;NULL;NULL;NULL;NULL;5d60061e45714d00019ad6a4;typicality
28;976;base64.wav;87;audio-keyboard-response;4;19821;0.0-1.3-0.3;NULL;NULL;NULL;NULL;5d60061e45714d00019ad6a4;typicality
29;28603;"["patterns/Rhythm-77.mp3","patterns/Rhythm-51.mp3"]";NULL;forced-choice-audio;5;48429;0.0-2.0;1;[0,1];NULL;NULL;5d60061e45714d00019ad6a4;typicality
30;28636;"["patterns/Rhythm-71.mp3","patterns/Rhythm-74.mp3"]";NULL;forced-choice-audio;6;77591;0.0-3.0;1;[0,1];NULL;NULL;5d60061e45714d00019ad6a4;typicality
31;23913;"["patterns/Rhythm-41.mp3","patterns/Rhythm-8.mp3"]";NULL;forced-choice-audio;7;102019;0.0-4.0;0;[0,1];NULL;NULL;5d60061e45714d00019ad6a4;typicality
32;23432;"["patterns/Rhythm-14.mp3","patterns/Rhythm-51.mp3"]";NULL;forced-choice-audio;8;125957;0.0-5.0;0;[0,1];NULL;NULL;5d60061e45714d00019ad6a4;typicality
33;25040;"["patterns/Rhythm-96.mp3","patterns/Rhythm-59.mp3"]";NULL;forced-choice-audio;9;151514;0.0-6.0;1;[0,1];NULL;NULL;5d60061e45714d00019ad6a4;typicality
34;22125;"["patterns/Rhythm-77.mp3","patterns/Rhythm-3.mp3"]";NULL;forced-choice-audio;10;174158;0.0-7.0;1;[0,1];NULL;NULL;5d60061e45714d00019ad6a4;typicality
35;3417;"<p>Now you will answer a few questions.</p><p>Press any key to continue.</p>";32;html-keyboard-response;11;178090;0.0-8.0;NULL;NULL;NULL;NULL;5d60061e45714d00019ad6a4;typicality
36;33801;NULL;NULL;survey-text;12;212421;0.0-9.0;NULL;NULL;"{"HowManyHours":"5","HowManyYears":"12"}";NULL;5d60061e45714d00019ad6a4;typicality
37;19094;NULL;NULL;survey-multi-select;13;232043;0.0-10.0;NULL;NULL;"{"Q0":["I took/take music classes in college."]}";[0];5d60061e45714d00019ad6a4;typicality
38;7675.67;"<div style='max-width:700px;'><p>For this experiment, you will listen to 5 pairs of rhythms and choose which rhythm in each pair you like more.</p><p>You will need to be able to hear audio in order to complete the experiment.</p><p>Press any key to contin";32;html-keyboard-response;0;7679;0.0-0.0;NULL;NULL;NULL;NULL;5d5ff32159b66b00010ba9e4;preference
39;NULL;base64.wav;NULL;audio-keyboard-response;1;13697;0.0-1.0-0.0;NULL;NULL;NULL;NULL;5d5ff32159b66b00010ba9e4;preference
40;NULL;base64.wav;NULL;audio-keyboard-response;2;19199;0.0-1.1-0.1;NULL;NULL;NULL;NULL;5d5ff32159b66b00010ba9e4;preference
41;4132.45;base64.wav;87;audio-keyboard-response;3;23334;0.0-1.2-0.2;NULL;NULL;NULL;NULL;5d5ff32159b66b00010ba9e4;preference
42;42719.8;"["patterns/Rhythm-59.mp3","patterns/Rhythm-7.mp3"]";NULL;forced-choice-audio;4;66060;0.0-2.0;1;[0,1];NULL;NULL;5d5ff32159b66b00010ba9e4;preference
43;37880.1;"["patterns/Rhythm-63.mp3","patterns/Rhythm-65.mp3"]";NULL;forced-choice-audio;5;104452;0.0-3.0;0;[0,1,0];NULL;NULL;5d5ff32159b66b00010ba9e4;preference
44;35658.9;"["patterns/Rhythm-23.mp3","patterns/Rhythm-92.mp3"]";NULL;forced-choice-audio;6;140625;0.0-4.0;0;[0,1,0];NULL;NULL;5d5ff32159b66b00010ba9e4;preference
45;32490.5;"["patterns/Rhythm-19.mp3","patterns/Rhythm-7.mp3"]";NULL;forced-choice-audio;7;173620;0.0-5.0;1;[0,1,0];NULL;NULL;5d5ff32159b66b00010ba9e4;preference
46;46436.5;"["patterns/Rhythm-94.mp3","patterns/Rhythm-13.mp3"]";NULL;forced-choice-audio;8;220562;0.0-6.0;0;[0,1,0,1];NULL;NULL;5d5ff32159b66b00010ba9e4;preference
47;46451.5;"["patterns/Rhythm-59.mp3","patterns/Rhythm-1.mp3"]";NULL;forced-choice-audio;9;267531;0.0-7.0;1;[0,1,0,1];NULL;NULL;5d5ff32159b66b00010ba9e4;preference
48;3064.32;"<p>Now you will answer a few questions.</p><p>Press any key to continue.</p>";32;html-keyboard-response;10;271108;0.0-8.0;NULL;NULL;NULL;NULL;5d5ff32159b66b00010ba9e4;preference
49;140101;NULL;NULL;survey-text;11;411730;0.0-9.0;NULL;NULL;"{"HowManyHours":"3","HowManyYears":"learned to play flute at a young age. Got to grade 5. Was very good at it but that was about 25 years ago. Learnt to play guitar as well so have a basic understanding of music and theory."}";NULL;5d5ff32159b66b00010ba9e4;preference
50;15649.7;NULL;NULL;survey-multi-select;12;427889;0.0-10.0;NULL;NULL;"{"Q0":["I took/take general music in primary school.","I took/take private music lessons."]}";[0];5d5ff32159b66b00010ba9e4;preference
51;5532.64;"<div style='max-width:700px;'><p>For this experiment, you will listen to 5 pairs of rhythms and choose which rhythm in each pair you like more.</p><p>You will need to be able to hear audio in order to complete the experiment.</p><p>Press any key to contin";13;html-keyboard-response;0;5534;0.0-0.0;NULL;NULL;NULL;NULL;5ab16bbac4e8f200014b6d0c;preference
52;4773.04;base64.wav;87;audio-keyboard-response;1;10809;0.0-1.0-0.0;NULL;NULL;NULL;NULL;5ab16bbac4e8f200014b6d0c;preference
53;24849.1;"["patterns/Rhythm-60.mp3","patterns/Rhythm-65.mp3"]";NULL;forced-choice-audio;2;35660;0.0-2.0;0;[0,1];NULL;NULL;5ab16bbac4e8f200014b6d0c;preference
54;22338.4;"["patterns/Rhythm-11.mp3","patterns/Rhythm-27.mp3"]";NULL;forced-choice-audio;3;58499;0.0-3.0;1;[0,1];NULL;NULL;5ab16bbac4e8f200014b6d0c;preference
55;21728.8;"["patterns/Rhythm-86.mp3","patterns/Rhythm-34.mp3"]";NULL;forced-choice-audio;4;80730;0.0-4.0;0;[0,1];NULL;NULL;5ab16bbac4e8f200014b6d0c;preference
56;33743.3;"["patterns/Rhythm-71.mp3","patterns/Rhythm-65.mp3"]";NULL;forced-choice-audio;5;114974;0.0-5.0;0;[0,0,1];NULL;NULL;5ab16bbac4e8f200014b6d0c;preference
57;21312.7;"["patterns/Rhythm-73.mp3","patterns/Rhythm-81.mp3"]";NULL;forced-choice-audio;6;136789;0.0-6.0;1;[0,1];NULL;NULL;5ab16bbac4e8f200014b6d0c;preference
58;23317.4;"["patterns/Rhythm-60.mp3","patterns/Rhythm-48.mp3"]";NULL;forced-choice-audio;7;160608;0.0-7.0;0;[0,1];NULL;NULL;5ab16bbac4e8f200014b6d0c;preference
59;6855.71;"<p>Now you will answer a few questions.</p><p>Press any key to continue.</p>";87;html-keyboard-response;8;167965;0.0-8.0;NULL;NULL;NULL;NULL;5ab16bbac4e8f200014b6d0c;preference
60;26454.7;NULL;NULL;survey-text;9;194923;0.0-9.0;NULL;NULL;"{"HowManyHours":"3","HowManyYears":"3"}";NULL;5ab16bbac4e8f200014b6d0c;preference
61;144483;NULL;NULL;survey-multi-select;10;339909;0.0-10.0;NULL;NULL;"{"Q0":["I took/take instrumental/choir classes in high school."]}";[0];5ab16bbac4e8f200014b6d0c;preference
62;8147.8;"<div style='max-width:700px;'><p>For this experiment, you will listen to 5 pairs of rhythms and choose which rhythm in each pair you like more.</p><p>You will need to be able to hear audio in order to complete the experiment.</p><p>Press any key to contin";70;html-keyboard-response;0;8150;0.0-0.0;NULL;NULL;NULL;NULL;5d4c65d1de72600016f87c14;preference
63;4079.51;base64.wav;87;audio-keyboard-response;1;12734;0.0-1.0-0.0;NULL;NULL;NULL;NULL;5d4c65d1de72600016f87c14;preference
64;24291.8;"["patterns/Rhythm-40.mp3","patterns/Rhythm-34.mp3"]";NULL;forced-choice-audio;2;37029;0.0-2.0;0;[0,1];NULL;NULL;5d4c65d1de72600016f87c14;preference
65;22966.8;"["patterns/Rhythm-2.mp3","patterns/Rhythm-58.mp3"]";NULL;forced-choice-audio;3;60501;0.0-3.0;1;[0,1];NULL;NULL;5d4c65d1de72600016f87c14;preference
66;29061.6;"["patterns/Rhythm-37.mp3","patterns/Rhythm-70.mp3"]";NULL;forced-choice-audio;4;90064;0.0-4.0;1;[0,1,1];NULL;NULL;5d4c65d1de72600016f87c14;preference
67;22687.5;"["patterns/Rhythm-52.mp3","patterns/Rhythm-34.mp3"]";NULL;forced-choice-audio;5;113256;0.0-5.0;0;[1,0];NULL;NULL;5d4c65d1de72600016f87c14;preference
68;23124;"["patterns/Rhythm-21.mp3","patterns/Rhythm-74.mp3"]";NULL;forced-choice-audio;6;136882;0.0-6.0;0;[0,1];NULL;NULL;5d4c65d1de72600016f87c14;preference
69;21864.1;"["patterns/Rhythm-40.mp3","patterns/Rhythm-92.mp3"]";NULL;forced-choice-audio;7;159248;0.0-7.0;1;[0,1];NULL;NULL;5d4c65d1de72600016f87c14;preference
70;4672.78;"<p>Now you will answer a few questions.</p><p>Press any key to continue.</p>";87;html-keyboard-response;8;164422;0.0-8.0;NULL;NULL;NULL;NULL;5d4c65d1de72600016f87c14;preference
71;19998.5;NULL;NULL;survey-text;9;184928;0.0-9.0;NULL;NULL;"{"HowManyHours":"15","HowManyYears":"0"}";NULL;5d4c65d1de72600016f87c14;preference
72;16743.8;NULL;NULL;survey-multi-select;10;202178;0.0-10.0;NULL;NULL;"{"Q0":["I took/take general music in primary school.","I took/take private music lessons."]}";[0];5d4c65d1de72600016f87c14;preference
73;31711.5;"<div style='max-width:700px;'><p>For this experiment, you will listen to 5 pairs of rhythms and choose which rhythm in each pair you like more.</p><p>You will need to be able to hear audio in order to complete the experiment.</p><p>Press any key to contin";32;html-keyboard-response;0;31716;0.0-0.0;NULL;NULL;NULL;NULL;572aea4fa11b99000875db8d;preference
74;5287.14;base64.wav;87;audio-keyboard-response;1;37509;0.0-1.0-0.0;NULL;NULL;NULL;NULL;572aea4fa11b99000875db8d;preference
75;30914.1;"["patterns/Rhythm-72.mp3","patterns/Rhythm-35.mp3"]";NULL;forced-choice-audio;2;68426;0.0-2.0;0;[0,1];NULL;NULL;572aea4fa11b99000875db8d;preference
